LONGITUDE,LATITUDE,COUNT,TERMINAL
-77.069275,38.846222,6530,31055
-77.05761899999999,38.820064,6488,31085
-77.027112,38.925636,6479,31126
-77.098029,38.989540000000005,6254,32008
-77.006311,38.983627,6206,32011
-77.09079200000001,38.88081,6095,31032
-77.089233,38.873754999999996,6052,31070
-77.040787,38.924088,5860,31296
-77.04885238395946,38.898925467168425,5793,31127
-77.082104,38.873219,5708,31073
-77.100104,38.992375,5620,32027
-77.095596,38.869417999999996,5612,31074
-77.02560799999999,38.997033,5383,32036
-77.047844,38.829545,5364,31916
-77.01120999999999,38.975,5252,32025
-77.07513481378554,38.964543509245885,5226,31315
-77.07510400000001,38.847977,5122,31056
-77.085931,38.8444,5067,31057
-77.01600551605225,38.90240556584194,5050,31642
-77.060866,38.804378,4963,31081
-77.094589,38.977092999999996,4947,32029
-77.09536700000001,38.983525,4890,32013
-77.096539,38.988562,4878,32000
-77.02308199999999,38.985403999999996,4854,32001
-77.09713,38.895377,4841,31094
-76.985238,38.866611,4801,31803
-76.990121,38.882489,4734,31644
-77.0333808660507,38.89646474748647,4682,31129
-76.97101500000001,38.873057,4649,31805
-77.05428,38.862753000000005,4598,31071
-77.065115,38.947156,4595,31318
-77.08865899999999,38.96115,4533,32040
-77.078317,38.898984000000006,4526,31093
-77.0291242003441,38.995256441231696,4514,32012
-77.10450300000001,38.869442,4509,31078
-77.09199100000001,38.982456,4507,32021
-77.068952,38.801111,4485,31082
-77.11153,38.856319,4474,31068
-77.023854,38.989724,4322,32024
-77.095431,38.847359999999995,4212,31059
-77.10502199999999,38.852247999999996,4161,31063
-76.97892399999999,38.927095,4143,31510
-77.02935,38.990249,4115,32019
-77.04069100000001,38.812351,4039,31918
-77.166093,39.119765,4017,32045
-77.0487,38.798133,3998,31907
-77.02941700000001,38.986999999999995,3953,32006
-77.05415500000001,38.8995,3928,31297
-77.08708299999999,38.839912,3907,31076
-77.002721,38.952369,3727,31515
-77.05003,38.865553000000006,3694,31090
-77.093522,38.979875,3667,32055
-76.971923,38.91263,3476,31520
-77.03037142753602,38.994034850608365,3250,32034
-76.9784,38.865784000000005,3123,31804
-76.990037,38.863896999999994,3044,31807
-77.09221,38.983838,2864,32003
-77.100239,38.990639,2854,32028
-77.104562,38.896456,2853,31092
-76.947446,38.897063,2845,31703
-77.0447,38.799267,2746,31903
-76.93723,38.889934999999994,2734,31707
-77.18266899999999,39.110314,2679,32038
-77.171487,39.114688,2620,32037
-77.3393914103508,38.94660792121498,2601,32215
-77.049468,38.813485,2583,31099
-77.109647,38.999634,2566,32039
-77.027855,38.961339,2440,31411
-77.1125502884388,38.847129045742605,2423,31054
-77.00356006622314,38.914751108831155,2414,31522
-77.000035,38.986743,2399,32049
-77.12711999999999,38.876528,2344,31902
-77.047783,38.818748,2287,31915
-77.08787,38.86612,2234,31096
-77.084636,38.958267,2233,31317
-77.06401600000001,38.843422,2200,31909
-76.947974,38.894,2099,31705
-77.023894,38.997445,2091,32043
-77.03155500000001,38.999388,2026,32035
-77.0628207921982,38.82005823354218,1957,31913
-77.15642720460892,38.885320719750744,1940,31904
-77.076986,38.994113,1881,32051
-77.097882,38.999378,1821,32053
-77.076131,38.866471000000004,1813,31075
-77.049265,38.822738,1794,31910
-77.061715,38.812711,1775,31906
-77.05376600000001,38.797557,1772,31914
-77.146866,39.084379,1744,32047
-77.02523599999999,38.88044,1651,31646
-77.151291,39.084125,1622,32007
,,1601,32020
-77.145803,39.085394,1591,32044
-77.135271,38.880992,1572,31905
-77.159048,39.095661,1570,32023
-77.192672,39.096312,1507,32004
-77.084918,38.848454,1485,31061
-77.359718,38.957037,1426,32214
-77.141378,39.076331,1415,32032
-77.080217,38.949813,1398,31319
-77.09586,38.860789000000004,1373,31058
-77.11298199999999,38.876695,1351,31919
-76.9993758201599,38.84322988730829,1293,31800
-77.039511,38.865029,1263,31064
-76.98782299999999,38.844711,1262,31806
-77.06812083721161,38.862150245214906,1258,31095
-77.12767099999999,38.884828999999996,1238,31901
-77.016311,38.990874,1172,32058
-77.118009,38.898301000000004,1167,31900
-77.177091,39.102212,1128,32033
-77.016258,38.968834,1122,31413
-77.038721,38.995681,1119,32056
-77.149162,39.083673,1114,32017
-77.082089,38.892556,1106,31924
-77.034499,38.997653,1098,32050
-76.941877,38.901385,1076,31704
-76.969184,38.861663,1041,31700
-76.982359,38.870695,1020,31812
-77.06309300000001,38.841291,983,31912
-77.164969,39.121327,976,32067
-76.979517,38.93293,972,31521
-77.11106600000001,38.888282000000004,952,31920
-77.08059,38.946182,945,31316
-77.04456299543382,39.025387196236316,915,32022
-77.002239,38.957463,914,31412
-77.188014,39.099376,912,32016
-77.196442,39.103091,904,32041
-77.06714000000001,38.896553000000004,904,31062
-76.931862,38.898536,902,31710
-76.9599,38.8692,898,31701
-77.340377,38.951443,857,32220
-77.087128,38.936298,839,31320
-77.351649,38.955079,825,32213
-77.222115,38.920939000000004,782,32204
-77.027976,38.967504999999996,772,31414
